Search Number,Elapsed Time (s)
898,1.779822
899,1.853118
900,1.944060
901,1.875944
902,1.817282
903,2.307082
904,1.803044
905,2.240466
906,2.839958
907,2.113864
908,2.942005
909,1.762457
910,2.028773
911,2.680272
912,2.692761
913,2.663481
914,2.576461
915,2.768887
916,1.685660
917,1.829115
918,1.855763
919,2.061298
920,2.502548
921,1.567138
922,2.401121
923,1.567200
924,1.574259
925,1.514608
926,2.388685
927,1.547755
928,1.817668
929,1.437484
930,1.093480
931,2.605604
932,1.468872
933,2.301825
934,1.726104
935,1.618111
936,2.573781
937,1.824980
938,2.167009
939,2.122224
940,2.097023
941,2.035794
942,2.127688
943,2.018027
944,1.191005
945,1.933090
946,2.687060
947,2.403944
948,1.519037
949,2.119225
950,2.000669
951,2.154510
952,1.854620
953,1.996743
954,2.115492
955,1.898859
956,2.093482
957,1.513071
958,1.953911
959,1.602540
960,1.652319
961,1.828931
962,1.979728
963,1.587185
964,1.968194
965,2.798164
966,2.430547
967,1.847124
968,2.768964
969,1.990937
970,2.090855
971,2.949501
972,2.352316
973,2.462913
974,2.332042
975,2.583049
976,2.673996
977,1.455838
978,2.473084
979,1.446905
980,2.600741
981,1.398421
982,2.504141
983,2.365205
984,2.121686
985,2.564549
986,1.637236
987,0.955314
988,1.133392
989,2.429886
990,2.087253
991,2.172855
992,2.313086
993,1.413565
994,1.978657
995,2.600583
996,2.790989
997,2.167947
998,2.404114
999,1.947622
1000,1.716206
